42.3631 -71.065, all phase plumbing
61.1811 -149.918, refrigeration & food equipment
61.1849 -149.898, schlumberger oilfield services
61.2163 -149.765, mayflower home sales
61.2191 -149.888, northweb marine
61.1893 -149.874, chugach alaska corporation
61.2171 -149.9, veco corporation
61.1879 -149.886, veco corporation
61.1385 -149.848, alaska road boring company
61.2191 -149.888, alaska mill & feed co
61.1774 -149.917, action security hardware
61.2239 -149.82, alaska yukon distributors
61.1891 -149.906, ciri
61.1712 -149.874, simplexgrinnell lp
61.1571 -149.883, raes harness shop
61.1832 -149.795, chugachmiut
60.9301 -161.163, a & a enterprises
60.787 -161.768, adult basic education ctr
60.9301 -161.163, aflac insurance
60.9301 -161.163, air cargo information
60.9301 -161.163, airport cab
60.7881 -161.747, alaska airlines inc
60.7891 -161.766, alaska bethel job svc
60.7841 -161.827, alaska central express
60.9301 -161.163, alaska checker cab inc
60.9301 -161.163, alaska checker cab inc
60.7896 -161.767, alaska commercial co
60.9301 -161.163, alaska cooperative extension
60.7983 -161.775, alaska housing finance corp
60.7909 -161.77, alaska housing finance corp
60.9301 -161.163, alaska hovercraft
60.7909 -161.77, alaska legal svc corp
60.9301 -161.163, alaska moravian church
62.1071 -145.745, american wildlife taxidermy
58.4127 -135.766, annie may lodge
62.1071 -145.475, arctic air rescue svc
61.9271 -145.889, artic air resuce svc
62.2701 -145.378, atwater's chateau
62.1081 -145.53, backcountry connection
62.0641 -146.45, basin airmotive
62.0971 -146.192, basin bible church
62.0971 -146.192, basin liquor
58.4431 -135.684, bear track inn
58.4981 -136.104, bear track mercantile
58.4981 -136.104, bear track mercantile deli
58.4121 -135.727, berry's specialty contracting
58.4981 -136.104, blue heron b & b/glacier bay
62.0971 -146.192, boardwalk estates rv park
61.4291 -142.903, boreal guides
62.3921 -145.123, british aerospace engr systems
62.0971 -146.192, brockman signs & web svc
62.0971 -146.192, brown bear rhodehouse
61.9271 -145.889, brown enterprises
62.1071 -145.521, brown's bus lines inc
58.4301 -135.751, bud's car rental
62.1851 -145.452, bush bottle bin
62.1071 -145.521, cabins on the glen
58.4981 -136.104, calkin learning ctr
62.1071 -145.521, caribou gift shop
62.1071 -145.528, carol's bed & breakfast
62.0251 -146.696, cat shop
62.0971 -146.192, catholic church-holy family
61.9061 -147.3, charelle's myotherapy
62.5651 -144.668, cheesh'na tribal council
62.7141 -143.985, chistochina bed & breakfast
62.5651 -144.668, chistochina community hall
62.5681 -144.663, chistochina health clinic
62.6801 -144.399, chistochina school
62.1071 -145.521, chocolate spoon espresso
64.7604 -147.351, david l eichler dds
64.7801 -147.49, elf's den
64.7801 -147.49, elf's den restaurant
64.7897 -147.332, elizardo & elizardo
64.8321 -147.431, ellen maes assisted living hme
64.7599 -147.35, emerald pulltabs
64.7751 -147.373, empowered living fitness
64.7621 -147.392, emulsion products of alaska
64.7496 -147.325, erja mechanical
64.7481 -147.302, esi emergency svc instr
64.7569 -147.358, ester construction
64.795 -147.534, exclusive paving
64.7453 -147.323, exotic woods of alaska
64.7831 -147.51, expert carpet cleaning
64.7492 -147.322, expressway auto glass
64.7627 -147.264, f & e taxidermy & rental
64.7617 -147.395, fabair
64.7751 -147.373, fair's pianos
64.8012 -147.562, fairbanks christian ctr
64.755 -147.306, fairbanks foam co
64.7751 -147.373, fairbanks gold mining inc
64.806 -147.535, fairbanks precasters inc
64.8249 -147.449, fairbanks pumping & thawing
64.7751 -147.373, families first
64.779 -147.486, fantasy land video
64.8334 -147.471, far north urethane
64.7751 -147.373, bourne contracting
64.7982 -147.549, finn-al crafts construction
64.7562 -147.353, fire wok
64.7801 -147.49, first baptist church
64.7751 -147.373, flint hills resources
64.7751 -147.373, flowserve alaska inc
64.7545 -147.354, food factory
64.7487 -147.326, forbes laundry
61.5742 -149.456, lake lucille bed & breakfast
61.6131 -149.266, lake view sand & gravel
61.5861 -149.303, lake view sand & gravel
61.5847 -149.323, lakes medical clinic
61.6046 -149.696, lalen lake realty
61.5919 -149.512, lamb of god lutheran church
61.5821 -149.617, land & cabins
61.5825 -149.429, land title of alaska inc
61.6141 -149.457, lanehart's honey do constr
61.5318 -149.531, larry murrays drain cleaning
61.6141 -149.457, larry st claire masonry
61.5876 -149.423, larson chiropractic
61.3981 -149.843, last frontier booksellers
61.5691 -149.311, last frontier guiding svc
61.6021 -149.629, laverne griffin youth rec camp
61.6141 -149.457, le valley painting
61.5824 -149.46, learning essentials
61.5847 -149.323, lee realty
61.5749 -149.374, legal writes
61.5825 -149.429, thomas r lehe
61.6141 -149.457, let it rain
61.7161 -150.197, lewis charters
61.5414 -149.592, lewis co
61.5779 -149.412, liberty tax svc
61.5941 -149.351, lil'sweethearts
61.5761 -149.512, little cache auto recycling
61.58 -149.483, little miller's
61.6641 -149.394, little susitna hydroseeding
61.6521 -149.92, little willow equipment
61.6154 -149.385, live long & prosper
61.5797 -149.347, log home maintenance
61.6141 -149.457, logical solutions
61.6111 -149.316, lonestar laundry b & j
61.6141 -149.457, long hair lofting millworks
61.5509 -149.491, longview medical
61.5693 -149.369, lor bud's drywall
61.6531 -149.903, lou's bake shop
61.1264 -149.834, hillco
61.2291 -149.867, hillcrest children's ctr inc
61.1955 -149.9, hilligas co inc
61.2193 -149.881, hillpoint park apartments
61.1229 -149.785, hillside baptist church
61.2009 -149.872, hillside chalet
61.1473 -149.907, hillside excavating
61.1372 -149.835, hillside family medicine
61.1045 -149.859, hillside family restaurant
61.1694 -149.888, hillside lawn & snow inc
61.1709 -149.839, hillside luggage
61.1231 -149.745, hillside manor b & b
61.1228 -149.771, hillside o'malley sda church
61.1381 -149.844, hillside pet clinic
61.1377 -149.752, hilltop ski area
61.1571 -149.883, hilti inc
61.2193 -149.892, hilton anchorage
61.1788 -149.884, hilton garden inn
61.2066 -149.91, hinchey & assoc
61.2197 -149.892, hintsala consulting
61.1444 -149.867, thomas g hipsher dds
61.0625 -149.774, hire of alaska
61.1491 -149.809, his glory contracting
61.1879 -149.886, historical preservation office
61.2174 -149.888, historical research ctr
61.1901 -149.892, diddy r m hitchins
61.145 -149.824, stacy hleihil
61.2235 -149.827, hme alaska
61.1694 -149.888, hmh consulting
61.223 -149.733, hmong oriental market
61.1771 -149.97, hms host
61.1835 -149.913, hms inc
61.1905 -149.887, cathy hoaks
60.7891 -161.747, alaska public health nursing
60.7913 -161.766, alaska state-public defender
60.9301 -161.163, alaska technologies
60.9301 -161.163, alaska usa federal cu
60.7881 -161.773, albright rentals
60.7891 -161.747, alcohol reward enforcement
60.791 -161.77, alice's kitchen
60.7907 -161.769, allstate insurance
60.7916 -161.769, andy's auto express
60.7938 -161.76, angstman law office inc
60.9301 -161.163, anica family store
60.7913 -161.758, anvil's gun cache
60.7841 -161.827, arctic circle air inc
60.9301 -161.163, arctic maintenance svc
60.7881 -161.747, arctic sun cafe
60.7871 -161.735, arctic transportation svc
60.7901 -161.75, artic sounder
60.7871 -161.75, association of village council
60.7891 -161.758, association of village council
60.7996 -161.784, association of village council
60.7881 -161.751, association of village council
60.9301 -161.163, association village council
60.9301 -161.163, athansas brothers
60.7996 -161.784, avcp housing authority
60.791 -161.76, avcp-head start
60.9301 -161.163, aviation development co
60.7975 -161.773, ayalpik apartment manager
60.7891 -161.758, back creek marine
60.7875 -161.766, barnes co
60.7913 -161.758, basic business svc
60.7878 -161.755, bentley's porter house b & b
60.9301 -161.163, bergie's guide svc
60.7915 -161.766, bering sea animal clinic
60.7909 -161.77, bering sea dental ctr
60.9301 -161.163, berry & berry
60.7731 -161.841, bethel air traffic control
60.9301 -161.163, bethel alcohol safety program
60.9301 -161.163, bethel building maintenance
60.9301 -161.163, bethel chamber of commerce
62.0491 -146.542, chugach collision ctr
58.4268 -135.733, church of jesus christ of lds
61.9271 -145.889, clearwater mountain resort
61.9271 -145.889, club crosswinds
62.1081 -145.53, connecting ties inc
61.9271 -145.889, control contractors inc
62.1071 -145.475, copper adventures
62.1081 -145.475, copper basin assembly of god
62.1081 -145.53, copper basin business ctr
62.1071 -145.475, copper basin distributors
61.9271 -145.889, copper basin pregnancy ctr
61.9271 -145.889, copper basin sanitation svc co
61.5181 -144.178, copper oar rafting
62.1071 -145.475, copper river basin regional
62.0971 -146.192, copper river cutting edge
61.9861 -146.937, copper river ems council inc
62.1091 -145.563, copper river school district
62.1851 -145.452, copper valley air svc
62.1091 -145.563, copper valley community librar
62.1071 -145.475, copper valley economic dev
62.1071 -145.521, copper valley electric assn
61.9271 -145.889, copper valley learning ctr
62.0251 -146.696, copper valley telephone co-op
62.0731 -145.41, crisis line
62.0971 -146.192, cross road medical ctr
62.0971 -146.192, cross road pharmacy
58.4981 -136.104, cross sound express
62.1071 -145.475, dan's towing
62.2471 -146.529, dinty bush svc
62.1071 -145.475, district magistrate
62.4101 -145.054, dry creek cache
62.1151 -145.523, du fresne enterprises
62.4691 -143.109, ellis & sons big game guide
62.1521 -145.469, ellis air taxi inc
61.9881 -147.011, eureka lodge
64.7489 -147.327, forbes storage llc
64.8067 -147.42, freedom in christ
64.7907 -147.373, fun time daycare
64.8389 -147.482, g & c locksmith & welding
64.7751 -147.373, g & s arctic rent a shop
64.7751 -147.373, gaming management consultants
64.7751 -147.373, gerald newton co
64.7751 -147.373, gift basket gallery
64.8259 -147.465, glen's automotive
64.7771 -147.352, golden heart boarding grooming
64.7751 -147.373, golden heart dart assn
64.827 -147.508, goldstream investments
64.7751 -147.373, goodman enterprises
64.7801 -147.49, gorilla fireworks
64.7441 -147.324, grantwright
64.7599 -147.35, great alaska pizza co
64.7751 -147.373, gunsmoke taxidermy
64.7751 -147.373, h & h contractors
64.7751 -147.373, h c contractors shop
64.81 -147.568, h c redi-mix inc
64.7367 -147.32, hansen bookkeeping & tax svc
64.7242 -147.295, harvey mechanical
64.7751 -147.373, mandy m haugen
64.7751 -147.373, hawk enterprises
64.7664 -147.399, hawks greenhouse
64.791 -147.359, hazel's highlights beauty shop
64.8349 -147.502, headlines studio
64.7839 -147.51, heavenly sounds
64.7374 -147.262, hebert rentals
64.7551 -147.359, hector's welding inc
64.8393 -147.365, helpful handyman svc
64.7589 -147.257, her leasing & construction
64.7751 -147.373, heritage roofing & constr
64.7928 -147.389, hidden valley ranch & kennels
64.7793 -147.487, hide-a-way self storage
61.5853 -149.37, lounsbury & assoc
61.5783 -149.442, love in the name of christ
61.5824 -149.634, love of alaska co
61.5347 -149.595, lovley & son painting inc
61.5829 -149.453, lube express
61.5698 -149.36, lucas chiropractic clinic
61.5926 -149.481, lucus enterprises
61.7147 -150.038, lynne lake home inspections
61.5808 -149.43, m & b plumbing & heating
61.5531 -149.651, m & j contractors
61.5668 -149.328, m & m development
61.573 -149.444, m & p cabinet crafters
61.6141 -149.457, mac tools inc
61.5781 -149.443, mad mike's aircraft engines
61.5731 -149.445, made-in-alaska.com
61.5875 -149.424, magellan behavioral health inc
61.5841 -149.324, mail center
61.572 -149.407, main enterprises
61.6141 -149.457, dennis p maloney
61.5691 -149.427, mark iv enterprises
61.5841 -149.424, marlene's
61.5811 -149.433, marvin h clark jr law offices
61.5694 -149.448, mascot
61.6511 -149.59, mason's siding & home
61.5812 -149.446, master auto repair
61.6141 -149.457, mat su commercial glass
61.5907 -149.296, mat valley meats
61.5839 -149.445, mat-su activity & respite ctr
61.7321 -150.12, mat-su air svc
61.5914 -149.314, mat-su bookkeeping
61.5717 -149.386, mat-su cinema
61.5996 -149.485, mat-su community mental health
61.5875 -149.424, mat-su dental ctr
61.5829 -149.442, mat-su dental lab
61.2243 -149.885, hobbs industries inc
61.1444 -149.867, hobbycraft
61.1479 -149.838, hobson trucking
61.1194 -149.862, hockey shop
61.1783 -149.916, hodgson mechanical
61.1892 -149.912, hoefler consulting group
61.1571 -149.883, hoffman commercial
61.1673 -149.854, hoffman strapping & fastening
61.1951 -149.891, steven e hofstad dds
61.1955 -149.903, hogg brothers cafe
61.1201 -149.89, holcomb & holcomb
61.195 -149.892, hole look
61.1824 -149.839, robert k holfeld dds
61.2173 -149.854, holiday
61.1381 -149.917, holiday
61.1806 -149.827, holiday
61.1888 -149.887, holiday
61.1955 -149.779, holiday
61.1409 -149.951, holiday express stores
61.2188 -149.886, holiday inn anchorage downtown
61.1806 -149.937, holiday inn express anchorage
61.1252 -149.864, holiday station store
61.1443 -149.849, holiday station store
61.2099 -149.778, holiday station store
61.1589 -149.835, holiday station stores
61.1843 -149.838, holistic life
61.144 -149.807, holland roofing co
61.1888 -149.965, holly's house
61.1547 -149.933, hollygraphix
61.1817 -149.869, hollywood all night pizza
61.2129 -149.733, hollywood auto repair
61.1806 -149.835, hollywood electronics & repair
60.7761 -161.79, bethel city billing office
60.7881 -161.747, bethel city clerk
60.9301 -161.163, bethel city dock
60.9301 -161.163, bethel city dump
60.7881 -161.74, bethel city offices
60.9301 -161.163, bethel city planning dept
60.7881 -161.74, bethel city purchasing agent
60.7981 -161.772, bethel city shop
60.9301 -161.163, bethel city sub water trtmnt
60.9301 -161.163, bethel cleaning svc
60.792 -161.77, bethel community assembly-god
60.7907 -161.762, bethel community svc inc
60.9301 -161.163, bethel council on the arts
60.7881 -161.749, bethel covenant church
60.7891 -161.748, bethel drilling & welding svc
60.9301 -161.163, bethel emergency
60.7921 -161.758, bethel family clinic
60.7881 -161.74, bethel fire dept
60.9301 -161.163, bethel frame works
60.9301 -161.163, bethel heating svc
60.7907 -161.77, bethel independent baptist
60.8008 -161.786, bethel inn
60.7881 -161.739, bethel korean church
60.9301 -161.163, bethel library
60.7909 -161.77, bethel native corp
60.7901 -161.749, bethel packing & delivery
60.7891 -161.749, bethel phs hospital
60.9301 -161.163, bethel planning dept
60.7891 -161.749, bethel police dept
60.7871 -161.735, bethel prematernal home
60.7981 -161.772, bethel public works dept
60.7964 -161.773, bethel pump house
60.7981 -161.769, bethel regional high school
60.9301 -161.163, bethel search & rescue
60.7981 -161.776, bethel senior ctr
60.9301 -161.163, bethel street maintenance
60.7901 -161.775, bethel trading co
60.7891 -161.749, bethel utilities corp
60.7981 -161.772, bethel water sewer garbage
62.2851 -146.575, evergreen lodge
62.2701 -146.53, exclusive alaskan hunts
58.4268 -135.733, fairweather adventures lodge
58.4981 -136.104, fairweather construction
62.2671 -145.395, fiddler's green on bear creek
62.0251 -146.696, fireweed hill bed & breakfast
61.5181 -144.178, fireweed mountain arts & craft
62.0971 -146.192, fish & game dept conservation
62.0971 -146.192, fish & game dept sport fish
61.9271 -145.889, fish & wildlife protection
62.0971 -146.192, fisher fuel inc
58.4981 -136.104, fjord flying svc
62.2711 -145.374, gakona junction village
62.7141 -143.985, gakona lodge & trading post
62.4831 -144.825, gakona rv wilderness camp
62.4101 -145.054, gakona school
62.7141 -143.985, gakona village council
62.6291 -143.411, gala mar boarding kennel
58.4181 -135.763, glacier bay country inn
58.4981 -136.104, glacier bay lodge
58.4151 -135.707, glacier bay sea kayaks
61.5181 -144.178, glacier view campground
62.1851 -145.452, glenn storage
62.1081 -145.53, glenn transport
61.9271 -145.889, glennallan sanford view sec
62.1151 -145.523, glennallen appraisal
62.1061 -145.633, glennallen building supply
62.1071 -145.521, glennallen chevron
62.0971 -146.192, glennallen chiropractic ctr
62.0971 -146.192, glennallen community chapel
62.1081 -145.53, glennallen elementary school
62.0971 -146.192, glennallen high school
62.1071 -145.521, glennallen improvement corp
62.1071 -145.521, glennallen laundromat
62.1071 -145.475, glennallen quick stop & truck
64.8263 -147.462, hip boot productions
64.7891 -147.38, historical aviation research
64.7517 -147.303, hives & honey
64.7481 -147.342, holiday heights congregate rm
64.7751 -147.373, holiday heights senior apts
64.7781 -147.496, holland development contrs
64.7491 -147.234, hollenbeck painting & drywall
64.8131 -147.51, homestead pumping & thawing
64.7557 -147.345, hot licks
64.7751 -147.373, illingworth enterprises
59.4571 -157.321, indian child welfare
64.7715 -147.353, indoor park
64.7751 -147.373, interior auto body & repair
64.8258 -147.54, interior custom grooming
64.7751 -147.373, interior fire & security
64.8283 -147.459, interior flooring
64.7148 -147.175, interior limousine svc
64.8291 -147.461, interior locksmith
64.7528 -147.357, interior mechanical
64.7751 -147.373, interior office equipment
64.7751 -147.373, interior properties
64.7518 -147.305, iron inc
64.8055 -147.498, j & h enterprises inc
64.7613 -147.288, j & l enterprises
64.7751 -147.373, j & s enterprises
64.8241 -147.504, j & t foundry & design
64.7559 -147.356, jackie at hair affair
64.7751 -147.373, jene's ouida way apts
64.7751 -147.373, jim hunter photography
64.7414 -147.344, jim's heating & plumbing rpr
64.824 -147.516, john cowles svc co
64.7982 -147.549, johnson river enterprises
64.7714 -147.351, jolly acres motel
64.7751 -147.373, k & a enterprise herbalife
64.7754 -147.469, k & k recycling
61.5813 -149.484, mat-su diesel electric
61.5833 -149.454, mat-su education assoc
61.5855 -149.319, mat-su evanglical covenant chr
61.5812 -149.448, mat-su homebuilders assn
61.5694 -149.448, mat-su info
61.6141 -149.457, mat-su landscaping
61.5932 -149.437, mat-su mechanical inc
61.5703 -149.382, mat-su midwifery inc
61.5691 -149.328, mat-su news bureau
61.6131 -149.266, mat-su parks hdqrs
61.5853 -149.369, mat-su public health ctr
61.6098 -149.418, mat-su realty
61.5833 -149.444, mat-su recovery ctr
61.5892 -149.402, mat-su resort
61.6521 -149.92, mat-su rv park & campground
61.5848 -149.327, mat-su softball assn
61.5847 -149.324, mat-su svc-children & adults
61.5817 -149.438, mat-su tattoo & body piercing
61.6141 -149.457, mat-su taxi
61.5875 -149.424, mat-su title insurance inc
61.6091 -149.356, mat-su tours
61.5861 -149.303, mat-su urethane
61.5816 -149.469, mat-su valley bingo & pulltabs
61.5794 -149.492, mat-su water
61.58 -149.434, mat-su yard svc
61.5848 -149.327, mat-su youth football assoc
61.5846 -149.353, mat-valley tile & stone inc
61.6141 -149.457, matanuska agility canine
61.6167 -149.328, matanuska air svc inc
61.5833 -149.446, matanuska education assoc
61.5743 -149.405, matanuska electric
61.5743 -149.405, matanuska electric assn
61.5811 -149.823, matanuska gardens
61.6141 -149.457, matanuska mailboxes
61.2312 -149.873, hollywood liquor store
61.1743 -149.897, hollywood nail salon
61.1372 -149.954, hollywood's best
61.2148 -149.896, holmes weddle & barcott
61.1836 -149.796, deborah a holmes cpa
61.0841 -149.812, holt concrete
61.1042 -149.87, holt land surveying
61.1522 -149.834, holy cross parish
61.1857 -149.72, holy family adult foster home
61.2173 -149.898, holy family cathedral
61.1986 -149.902, holy rosary academy
61.1212 -149.748, holy spirit ctr
61.1229 -149.83, holy transfiguration greek
61.1201 -149.89, homan & homan
61.1201 -149.89, home care flooring
61.1287 -149.943, home comfort designs
61.1491 -149.809, home computer svc
61.1355 -149.722, home concepts
61.1934 -149.884, home connection
61.1681 -149.835, home decor & remodeling
61.1811 -149.874, home depot
61.1974 -149.906, home electronics inc
61.1201 -149.89, home essentials
61.2068 -149.898, home group real estate
61.1491 -149.809, home health education svc
61.2161 -149.876, home health plus
61.1444 -149.867, home health solutions
61.1876 -149.745, home inspection svc
61.1747 -149.847, home inspector alaska
61.1934 -149.884, home loan professionals inc
61.1806 -149.834, home pride investments
61.2161 -149.873, home reconditioning
61.1932 -149.914, home town restaurant
61.133 -149.861, homemakers remodeling
61.1728 -149.831, homeowners referral svc
60.7901 -161.775, bethel youth ctr
60.9301 -161.163, birch horton bittner & scerott
60.9301 -161.163, bls enterprises
60.9301 -161.163, bob's custom marine
60.7871 -161.735, brothers pizza & subs
60.9301 -161.163, brotherton management
60.7937 -161.755, brown slough bed & breakfast
60.9301 -161.163, c & b enterprise janitorial
60.793 -161.771, c & k remodels
60.7881 -161.756, calista elder's council
60.7908 -161.77, casa teriyaki
60.7942 -161.76, casey's carpet
60.793 -161.761, celeration/winterset rentals
60.9301 -161.163, cezary's auto body & paint
60.9301 -161.163, chaney rentals
60.8046 -161.8, choice automotive repair
60.7916 -161.767, church of god
60.9301 -161.163, church of jesus christ of lds
60.7878 -161.741, city cab
60.7881 -161.74, city of bethel finance
60.9301 -161.163, civil air patrol
60.9301 -161.163, clarks.com
60.9301 -161.163, clean stop laundromat
60.7909 -161.77, coastal villages fisheries
60.9301 -161.163, coastal villages region fund
60.7909 -161.77, community & economic dvlp
60.7913 -161.754, cooke roosa valcarce
60.7882 -161.74, corina's
60.7871 -161.735, corina's case lot groceries
60.7893 -161.75, corrections dept
60.7871 -161.735, courtney's auto & diesel
60.9301 -161.163, craig air
60.7827 -161.808, cranberry cottage
60.9301 -161.163, creative names by samuel
60.9301 -161.163, crisis respite care program
60.7798 -161.777, crowley marine svc
60.4761 -164.704, d & g express
60.9301 -161.163, dale construction co
60.7901 -161.749, datu's place
60.7896 -161.767, david henderson law office
61.9271 -145.889, glennallen volunteer fire dept
61.9271 -145.889, glennallen volunteer fire dept
61.9271 -145.889, gracious house
62.0971 -146.192, greater copper valley chamber
62.0291 -146.639, grizzly country enterprises
62.7141 -144.186, grizzly lake ranch
58.4981 -136.104, growley bear inn-glacier bay
61.9271 -145.889, gulkana community counselor
62.3331 -145.36, gulkana health clinic
61.9271 -145.889, gulkana maintenance
62.2711 -145.374, gulkana river ranch fishing
62.3331 -145.36, gulkana village council
62.6291 -143.411, gulkana village icwa
58.4981 -136.104, gustavus chapel
58.4981 -136.104, gustavus community assn
58.4311 -135.749, gustavus community clinic
58.4981 -136.104, gustavus electric co
58.4981 -136.104, gustavus inn
58.4196 -135.756, gustavus marine charters
58.4981 -136.104, gustavus preschool
58.4291 -135.759, gustavus propane co
58.4981 -136.104, gustavus public library
58.4981 -136.104, gustavus school
58.4981 -136.104, gusto building supply
62.0971 -146.192, hitchin' post
62.1071 -145.475, homestead supply
62.1091 -145.563, hoover radiator svc
61.9271 -145.889, hope village church & assoc
62.0971 -146.192, hub of alaska inc
58.4191 -135.757, icy strait environmental svc
62.0971 -146.192, images-hair & tanning salon
62.1081 -145.475, infant learning program-copper
61.9271 -145.889, internet alaska
62.1851 -145.452, jim cline's enterprise
62.1071 -145.475, job ready inc
58.4121 -135.727, k & w trucking co
62.1071 -145.521, kcam
64.765 -147.296, karen s lambert's daycare
64.7751 -147.373, karen's creations
64.7893 -147.531, karl brothers inc
64.8129 -147.424, kenny's burn barrels
64.7575 -147.353, key bank
64.7571 -147.351, key bank
64.7296 -147.322, kiehl's welding & salvage
64.7552 -147.325, kjnp
64.7519 -147.352, klondike kids
64.7493 -147.328, knitting frenzy
64.7782 -147.281, kraft heating
64.7751 -147.373, kugler financial svc network
64.756 -147.365, kvalevog rabbit
64.7802 -147.49, l & a construction inc
64.7646 -147.411, l & m wilson consulting
64.7504 -147.349, la salle family carnival
64.8341 -147.441, laidlaw transit inc
64.8263 -147.523, lakloey inc
64.7509 -147.35, lane co / arctic assist living
64.7599 -147.35, larry's barber shop
64.7797 -147.365, laser heating svc
64.8032 -147.547, lee's oriental massage
64.7339 -147.275, liberty homes inc
64.7542 -147.354, lighthouse therapeutic massage
64.7751 -147.373, lightning word works
64.8301 -147.452, lions foundation
64.8289 -147.543, lloyd's tile & marble
64.7451 -147.318, lord of life lutheran church
64.7763 -147.337, lords enterprises
64.8348 -147.511, lost nugget lodging
64.8246 -147.52, lou's mortgage origination
64.7455 -147.332, lou's tv & satellite svc
64.8064 -147.554, loving companions animal
61.5743 -149.405, matanuska music
61.5811 -149.433, matanuska telephone
61.5844 -149.441, matanuska valley federal cu
61.6531 -149.903, matanuska valley federal cu
61.587 -149.431, matanuska-susitna borough pool
61.6141 -149.457, matnet
61.5802 -149.435, matters within daycare
61.7321 -150.12, bruce mattson pe
61.5421 -149.419, maw's & paw's grooming
61.6061 -149.433, maxxie's restaurant
61.5832 -149.319, david t mayschak md
61.571 -149.363, mc donald's
61.5809 -149.43, mc donald's
61.5853 -149.373, mc kinley title & trust co
61.5886 -149.357, rich mc kinley od
61.5901 -149.632, meadow gates farm sanctuary
61.6211 -149.59, meadow lakes bed & biscuit
61.5952 -149.633, meadow lakes christian ctr
61.6141 -149.457, meadow lakes community council
61.612 -149.623, meadow lakes elementary school
61.5821 -149.631, meadow lakes fire dept
61.5824 -149.632, meadow lakes pizza
61.5821 -149.632, meadow lakes public safety
61.5812 -149.448, meca employment connection
61.5816 -149.474, mechanical & electrical inspct
61.6141 -149.457, mechanical specialist inc
61.5825 -149.429, medical specialists clinic
61.6501 -149.314, meier lake conference ctr
61.6251 -149.278, meier trucking
61.5823 -149.462, mekong thai cuisine
61.5844 -149.441, members financial svc
61.5825 -149.429, mental health & dev disability
61.5772 -149.649, merry pop-ins childcare
61.5531 -149.651, miah construction inc
61.5812 -149.448, micro byte
61.1903 -149.87, homer stage line
61.1491 -149.809, homes unlimited
61.182 -149.931, homestead inn
61.169 -149.881, homestead properties
61.1901 -149.892, homestead resort properties
61.2246 -149.801, homeward bound
61.177 -149.883, homewood suites by hilton
61.1901 -149.892, homework coach
61.2124 -149.877, homework residential building
61.2171 -149.9, homiez detailing & auto repair
61.1444 -149.867, honchen & uhlenkott inc
61.2173 -149.862, honda of anchorage
61.0995 -149.761, honey bears
61.2161 -149.876, honeydoo handymen
61.2031 -149.749, honeys
61.1999 -149.93, hong kong restaurant
61.2405 -149.811, hong nails
61.2188 -149.894, honorable donald mac donald iv
61.2152 -149.886, honorable h russel holland
61.2188 -149.894, honorable herbert a ross
61.2152 -149.886, honorable ja von der heydt
61.2141 -149.864, honorable john d roberts
61.2152 -149.886, honorable john roberts
61.2141 -149.864, honorable john w sedwick
61.2182 -149.895, honorary consulate-germany
61.1811 -149.871, hooters
61.1915 -149.768, hop to it play care
61.1373 -149.833, hope christian fellowship
61.1571 -149.883, hope community resources inc
61.1901 -149.892, hope cottages
61.2161 -149.876, hope enterprises
61.1901 -149.892, hope forms
61.1955 -149.92, hope lutheran preschool
61.2191 -149.888, hope mining co
61.1444 -149.867, hops hallmark
61.1955 -149.884, horace mann insurance co
60.7841 -161.804, davis sand & gravel
60.9301 -161.163, delta aircraft maintenance
60.8055 -161.81, delta cottages
60.9301 -161.163, delta discovery
60.7913 -161.758, delta dish system
60.9301 -161.163, delta firearms & supplies
60.9301 -161.163, delta hydroponics
60.9301 -161.163, denali general contractors
60.7903 -161.764, dimitri's restaurant
60.7909 -161.77, disability law ctr of alaska
60.7896 -161.764, discount store
60.7891 -161.749, district attorney
60.7891 -161.749, district recorder
60.9301 -161.163, don's leveling svc
60.7882 -161.74, dos guys boat shop
60.9301 -161.163, dot aviation construction
60.7731 -161.841, e-z freight handlers
60.9301 -161.163, ed's automotive
60.9301 -161.163, elec-t-serve
60.9301 -161.163, environmental conservation
60.7871 -161.735, era aviation
60.7881 -161.747, era aviation
60.7731 -161.841, everes air cargo
60.7908 -161.77, family restaurant
60.7871 -161.755, faulkner walsh constructors
60.7841 -161.827, final approach cafe
60.7884 -161.75, first national bank
60.9301 -161.163, fish & game dept
60.9301 -161.163, fish & wildlife
60.7901 -161.765, fix it plumbing & rentals
60.7886 -161.748, front street cafe
60.7881 -161.747, furnace doctor
60.9301 -161.163, gary fredericks isa
60.7898 -161.766, gci
60.9301 -161.163, gilberto's lawn svc
60.7921 -161.773, gloria's restaurant
60.7902 -161.758, golden eagle unlimited
60.9301 -161.163, gotta be juicy
60.9301 -161.163, james graham
60.7841 -161.827, grant aviation
60.9301 -161.163, guinn building svc
61.4331 -142.903, kennicott glacier lodge
61.4021 -143.079, kennicott river lodge & hostel
62.1081 -145.475, kunik machine works inc
58.4981 -136.104, lab flying
62.2651 -146.527, lake louise lodge
62.1081 -145.53, last frontier video
62.0991 -146.083, lee's air taxi
62.1091 -145.564, legislative affairs
61.9271 -145.889, libbey's farm
61.9061 -147.3, m & d trucking
61.4341 -142.908, ma johnson hotel
61.4331 -142.903, ma johnson's historic hotel
61.9271 -145.889, majestic mountain alaskan
62.1851 -145.452, mbc automotive & towing
61.4341 -142.908, mc carthy air
61.5181 -144.178, mc carthy bed & breakfast
